Year,LocationAbbr,LocationDesc,DataSource,PriorityArea1,PriorityArea2,PriorityArea3,PriorityArea4,Category,Topic,Indicator,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Confidence_Interval_Low,Confidence_Interval_High,Break_Out_Category,Break_Out,CategoryId,TopicId,IndicatorID,Data_Value_TypeID,BreakOutCategoryId,BreakOutId,LocationID,GeoLocation
2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of low HDL (high-density lipoprotein) cholesterol among US adults (20+); NHANES,Crude,Percent (%),9.7,9.7,,,7.6,12.4,Age,75+,C2,T10,NH064,Crude,BOC03,AGE08,59,
2017-2018,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),93.3,93.3,,,91.1,95.0,Age,65+,C2,T10,NH066,Crude,BOC03,AGE06,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Mean serum total cholesterol among US adults (20+); NHANES,Crude,Mean (mg/dL),211.0,211.0,,,204.0,218.0,Race,Other,C2,T10,NH067,Crude,BOC04,RAC07,59,
2007-2008,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Cholesterol Abnormalities,Prevalence of poor cholesterol status among US adults (20+); NHANES,Crude,Percent (%),17.2,17.2,,,15.5,19.0,Age,35+,C2,T10,NH301,Crude,BOC03,AGE07,59,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); NHANES,Crude,Percent (%),13.7,13.7,,,11.5,16.4,Age,45-64,C2,T11,NH070,Crude,BOC03,AGE05,59,
2017-2018,US,United States,NHANES,None,None,None,None,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); NHANES,Crude,Percent (%),29.8,29.8,,,26.5,33.3,Age,65+,C2,T11,NH070,Crude,BOC03,AGE06,59,
2015-2016,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Diabetes,Prevalence of poor HbA1c or fasting glucose status among US adults (20+); NHANES,Age-Standardized,Percent (%),30.0,30.0,,,25.3,35.2,Race,Hispanic,C2,T11,NH401,AgeStdz,BOC04,RAC04,59,
2003-2004,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Diabetes,Prevalence of ideal HbA1c and fasting glucose status among US adults (20+); NHANES,Crude,Percent (%),53.3,53.3,,,46.4,60.1,Age,75+,C2,T11,NH403,Crude,BOC03,AGE08,59,
2015-2016,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Diabetes,Prevalence of ideal HbA1c and fasting glucose status among US adults (20+); NHANES,Crude,Percent (%),52.9,52.9,,,47.4,58.4,Age,45-64,C2,T11,NH403,Crude,BOC03,AGE05,59,
2003-2004,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Nutrition,Mean dietary sodium intake (mg/day) among US adults (18+); NHANES,Crude,Mean (mg/day),3435.0,3435.0,,,3350.0,3521.0,Age,35+,C2,T12,NH073,Crude,BOC03,AGE07,59,
2003-2004,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Nutrition,Prevalence of ideal diet score among US adults (20+); NHANES,Crude,Percent (%),0.0,0.0,,,,,Age,20-24,C2,T12,NH503,Crude,BOC03,AGE02,59,
2013-2014,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Nutrition,Prevalence of ideal diet score among US adults (20+); NHANES,Crude,Percent (%),0.0,0.0,,,,,Age,20-24,C2,T12,NH503,Crude,BOC03,AGE02,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Obesity,Prevalence of healthy weight among US adults (20+); NHANES,Crude,Percent (%),49.8,49.8,,,44.0,55.6,Age,20-24,C2,T13,NH072,Crude,BOC03,AGE02,59,
2013-2014,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Physical Inactivity,Prevalence of poor physical activity levels among US adults (20+); NHANES,Age-Standardized,Percent (%),45.7,45.7,,,43.5,47.8,Gender,Male,C2,T14,NH701,AgeStdz,BOC02,GEN01,59,
2017-2018,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Smoking,Prevalence of ideal smoking status among US adults (20+); NHANES,Crude,Percent (%),73.9,73.9,,,69.9,77.5,Age,25-44,C2,T15,NH803,Crude,BOC03,AGE04,59,
2007-2008,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Major Cardiovascular Disease,Prevalence of poor Cardiovascular Health among US adults (20+); NHANES,Crude,Percent (%),2.6,2.6,,,1.5,4.5,Age,45-64,C2,T21,NH101,Crude,BOC03,AGE05,59,
2009-2010,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Major Cardiovascular Disease,Prevalence of poor Cardiovascular Health among US adults (20+); NHANES,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Gender,Male,C2,T21,NH101,Crude,BOC02,GEN01,59,
2015-2016,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Major Cardiovascular Disease,Prevalence of poor Cardiovascular Health among US adults (20+); NHANES,Crude,Percent (%),1.1,1.1,,,0.7,1.6,Overall,Overall,C2,T21,NH101,Crude,BOC01,OVR01,59,
2007-2008,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Major Cardiovascular Disease,Prevalence of ideal Cardiovascular Health among US adults (20+); NHANES,Crude,Percent (%),5.6,5.6,,,3.7,8.6,Gender,Female,C2,T21,NH103,Crude,BOC02,GEN02,59,
2009-2010,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Major Cardiovascular Disease,Prevalence of ideal Cardiovascular Health among US adults (20+); NHANES,Age-Standardized,Percent (%),7.0,7.0,,,5.2,9.2,Gender,Female,C2,T21,NH103,AgeStdz,BOC02,GEN02,59,
2017-2018,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+); NHANES,Crude,Percent (%),77.9,77.9,,,73.7,81.7,Age,75+,C2,T9,NH020,Crude,BOC03,AGE08,59,
2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension awareness among US adults (18+) with hypertension; NHANES,Crude,Percent (%),80.5,80.5,,,76.2,84.3,Race,Non-Hispanic Black,C2,T9,NH021,Crude,BOC04,RAC02,59,
2005-2006,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension; NHANES,Age-Standardized,Percent (%),74.5,74.5,,,66.2,81.3,Gender,Female,C2,T9,NH022,AgeStdz,BOC02,GEN02,59,
2013-2014,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of hypertension medication use among US adults (18+) with hypertension; NHANES,Crude,Percent (%),68.6,68.6,,,60.2,75.8,Race,Other,C2,T9,NH022,Crude,BOC04,RAC07,59,
2005-2006,US,United States,NHANES,None,ABCS,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of blood pressure control among US adults (18+) with hypertension; NHANES,Crude,Percent (%),30.9,30.9,,,23.9,38.9,Age,25-44,C2,T9,NH023,Crude,BOC03,AGE04,59,
2003-2004,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of prehypertension among US adults (18+); NHANES,Crude,Percent (%),28.9,28.9,,,26.8,31.0,Age,35+,C2,T9,NH024,Crude,BOC03,AGE07,59,
2017-2018,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of prehypertension among US adults (18+); NHANES,Age-Standardized,Percent (%),24.5,24.5,,,21.7,27.5,Race,Non-Hispanic Asian,C2,T9,NH024,AgeStdz,BOC04,RAC03,59,
2011-2012,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Hypertension,Prevalence of poor blood pressure status among US adults (20+); NHANES,Age-Standardized,Percent (%),14.3,14.3,,,12.0,17.0,Race,Hispanic,C2,T9,NH201,AgeStdz,BOC04,RAC04,59,
2015-2016,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Hypertension,Prevalence of poor blood pressure status among US adults (20+); NHANES,Crude,Percent (%),21.6,21.6,,,19.5,23.9,Age,35+,C2,T9,NH201,Crude,BOC03,AGE07,59,
2017-2018,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Hypertension,Prevalence of ideal blood pressure status among US adults (20+); NHANES,Age-Standardized,Percent (%),42.4,42.4,,,39.5,45.4,Race,Non-Hispanic Asian,C2,T9,NH203,AgeStdz,BOC04,RAC03,59,
2017-2018,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Hypertension,Prevalence of ideal blood pressure status among US adults (20+); NHANES,Crude,Percent (%),37.3,37.3,,,34.0,40.7,Race,Non-Hispanic White,C2,T9,NH203,Crude,BOC04,RAC01,59,
2017-2018,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Hypertension,Prevalence of ideal blood pressure status among US adults (20+); NHANES,Crude,Percent (%),28.7,28.7,,,25.5,32.2,Age,35+,C2,T9,NH203,Crude,BOC03,AGE07,59,
2017-2018,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Hypertension,Prevalence of ideal blood pressure status among US adults (20+); NHANES,Age-Standardized,Percent (%),31.4,31.4,,,28.3,34.8,Race,Non-Hispanic Black,C2,T9,NH203,AgeStdz,BOC04,RAC02,59,
2017-2018,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Hypertension,Prevalence of ideal blood pressure status among US adults (20+); NHANES,Crude,Percent (%),45.2,45.2,,,42.0,48.4,Race,Hispanic,C2,T9,NH203,Crude,BOC04,RAC04,59,
2017-2018,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Hypertension,Prevalence of ideal blood pressure status among US adults (20+); NHANES,Age-Standardized,Percent (%),41.9,41.9,,,39.3,44.5,Race,Hispanic,C2,T9,NH203,AgeStdz,BOC04,RAC04,59,
2017-2018,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Hypertension,Prevalence of ideal blood pressure status among US adults (20+); NHANES,Crude,Percent (%),12.0,12.0,,,9.0,15.9,Age,65+,C2,T9,NH203,Crude,BOC03,AGE06,59,
2017-2018,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Hypertension,Prevalence of ideal blood pressure status among US adults (20+); NHANES,Crude,Percent (%),39.9,39.9,,,35.0,44.9,Race,Other,C2,T9,NH203,Crude,BOC04,RAC07,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),53.9,53.9,,,51.2,56.6,Age,25-44,C2,T10,NH066,Crude,BOC03,AGE04,59,
2017-2018,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (20+); NHANES,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Age,25-44,C1,T4,NH003,Crude,BOC03,AGE04,59,
1999-2000,US,United States,NHANES,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (20+); NHANES,Crude,Percent (%),2.4,2.4,,,1.8,3.3,Race,Non-Hispanic White,C1,T6,NH005,Crude,BOC04,RAC01,59,
2005-2006,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),8.6,8.6,,,7.3,10.1,Gender,Male,C1,T1,NH001,Crude,BOC02,GEN01,59,
2011-2012,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Smoking,Prevalence of ideal smoking status among US adults (20+); NHANES,Age-Standardized,Percent (%),80.6,80.6,,,72.5,86.8,Race,Other,C2,T15,NH803,AgeStdz,BOC04,RAC07,59,
2001-2002,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+); NHANES,Crude,Percent (%),36.5,36.5,,,31.6,41.6,Race,Non-Hispanic Black,C2,T9,NH020,Crude,BOC04,RAC02,59,
2013-2014,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Major Cardiovascular Disease,Prevalence of ideal Cardiovascular Health among US adults (20+); NHANES,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Age,65+,C2,T21,NH103,Crude,BOC03,AGE06,59,
2003-2004,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Age-Standardized,Percent (%),64.1,64.1,,,56.2,71.2,Race,Other,C2,T10,NH066,AgeStdz,BOC04,RAC07,59,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); NHANES,Age-Standardized,Percent (%),15.0,15.0,,,12.4,18.1,Race,Other,C2,T11,NH070,AgeStdz,BOC04,RAC07,59,
2001-2002,US,United States,NHANES,Million Hearts,ABCS,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of statin use among US adults (21+) for whom statin therapy is recommended; NHANES,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Gender,Male,C2,T10,NH061,Crude,BOC02,GEN01,59,
2013-2014,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum total cholesterol among US adults (20+); NHANES,Crude,Percent (%),7.6,7.6,,,6.6,8.8,Race,Non-Hispanic Black,C2,T10,NH063,Crude,BOC04,RAC02,59,
2011-2012,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Major Cardiovascular Disease,Prevalence of poor Cardiovascular Health among US adults (20+); NHANES,Age-Standardized,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Race,Non-Hispanic White,C2,T21,NH101,AgeStdz,BOC04,RAC01,59,
2015-2016,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Major Cardiovascular Disease,Prevalence of ideal Cardiovascular Health among US adults (20+); NHANES,Age-Standardized,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Race,Non-Hispanic Black,C2,T21,NH103,AgeStdz,BOC04,RAC02,59,
2013-2014,US,United States,NHANES,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (20+); NHANES,Crude,Percent (%),2.4,2.4,,,1.8,3.2,Gender,Male,C1,T6,NH005,Crude,BOC02,GEN01,59,
2015-2016,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Cholesterol Abnormalities,Prevalence of ideal cholesterol status among US adults (20+); NHANES,Crude,Percent (%),46.7,46.7,,,42.0,51.4,Race,Other,C2,T10,NH303,Crude,BOC04,RAC07,59,
2015-2016,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Cholesterol Abnormalities,Prevalence of poor cholesterol status among US adults (20+); NHANES,Age-Standardized,Percent (%),12.6,12.6,,,10.7,14.8,Gender,Female,C2,T10,NH301,AgeStdz,BOC02,GEN02,59,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension awareness among US adults (18+) with hypertension; NHANES,Crude,Percent (%),82.9,82.9,,,80.5,85.0,Gender,Female,C2,T9,NH021,Crude,BOC02,GEN02,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Obesity,Prevalence of obesity among US adults (20+); NHANES,Age-Standardized,Percent (%),33.5,33.5,,,30.1,37.1,Gender,Female,C2,T13,NH071,AgeStdz,BOC02,GEN02,59,
2007-2008,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Obesity,Prevalence of healthy weight among US adults (20+); NHANES,Crude,Percent (%),31.0,31.0,,,28.4,33.7,Race,Non-Hispanic White,C2,T13,NH072,Crude,BOC04,RAC01,59,
2007-2008,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum total cholesterol among US adults (20+); NHANES,Crude,Percent (%),13.6,13.6,,,11.7,15.7,Gender,Male,C2,T10,NH063,Crude,BOC02,GEN01,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum total cholesterol among US adults (20+); NHANES,Crude,Percent (%),17.8,17.8,,,15.2,20.8,Gender,Female,C2,T10,NH063,Crude,BOC02,GEN02,59,
2009-2010,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Obesity,Prevalence of healthy weight among US adults (20+); NHANES,Crude,Percent (%),25.0,25.0,,,21.5,28.8,Gender,Male,C2,T13,NH072,Crude,BOC02,GEN01,59,
2013-2014,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Mean serum total cholesterol among US adults (20+); NHANES,Crude,Mean (mg/dL),189.0,189.0,,,188.0,191.0,Overall,Overall,C2,T10,NH067,Crude,BOC01,OVR01,59,
2011-2012,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Heart Failure,Prevalence of heart failure among US adults (20+); NHANES,Age-Standardized,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Race,Non-Hispanic Asian,C1,T5,NH002,AgeStdz,BOC04,RAC03,59,
2009-2010,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Obesity,Prevalence of ideal BMI status among US adults (20+); NHANES,Crude,Percent (%),26.8,26.8,,,25.0,28.8,Age,35+,C2,T13,NH603,Crude,BOC03,AGE07,59,
2015-2016,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Obesity,Prevalence of poor BMI status among US adults (20+); NHANES,Crude,Percent (%),39.3,39.3,,,35.1,43.7,Age,25-44,C2,T13,NH601,Crude,BOC03,AGE04,59,
2007-2008,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Obesity,Prevalence of obesity among US adults (20+); NHANES,Crude,Percent (%),26.5,26.5,,,19.8,34.5,Age,20-24,C2,T13,NH071,Crude,BOC03,AGE02,59,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of low HDL (high-density lipoprotein) cholesterol among US adults (20+); NHANES,Crude,Percent (%),16.3,16.3,,,13.5,19.5,Age,65+,C2,T10,NH064,Crude,BOC03,AGE06,59,
2015-2016,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Smoking,Prevalence of ideal smoking status among US adults (20+); NHANES,Age-Standardized,Percent (%),73.9,73.9,,,71.3,76.4,Race,Non-Hispanic Black,C2,T15,NH803,AgeStdz,BOC04,RAC02,59,
2001-2002,US,United States,NHANES,Million Hearts,ABCS,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of statin use among US adults (21+) for whom statin therapy is recommended; NHANES,Age-Standardized,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Race,Non-Hispanic Asian,C2,T10,NH061,AgeStdz,BOC04,RAC03,59,
1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of low HDL (high-density lipoprotein) cholesterol among US adults (20+); NHANES,Crude,Percent (%),36.0,36.0,,,31.8,40.5,Gender,Male,C2,T10,NH064,Crude,BOC02,GEN01,59,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Age-Standardized,Percent (%),8.9,8.9,,,6.9,11.3,Gender,Female,C2,T10,NH065,AgeStdz,BOC02,GEN02,59,
2015-2016,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of prehypertension among US adults (18+); NHANES,Crude,Percent (%),30.7,30.7,,,27.0,34.8,Age,25-44,C2,T9,NH024,Crude,BOC03,AGE04,59,
2007-2008,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Major Cardiovascular Disease,Prevalence of poor Cardiovascular Health among US adults (20+); NHANES,Age-Standardized,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Race,Non-Hispanic Asian,C2,T21,NH101,AgeStdz,BOC04,RAC03,59,
2005-2006,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Obesity,Prevalence of obesity among US adults (20+); NHANES,Crude,Percent (%),36.5,36.5,,,33.6,39.4,Age,35+,C2,T13,NH071,Crude,BOC03,AGE07,59,
2009-2010,US,United States,NHANES,Million Hearts,ABCS,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of statin use among US adults (21+) for whom statin therapy is recommended; NHANES,Crude,Percent (%),0.0,0.0,,,,,Gender,Male,C2,T10,NH061,Crude,BOC02,GEN01,59,
2011-2012,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Smoking,Prevalence of ideal smoking status among US adults (20+); NHANES,Crude,Percent (%),78.0,78.0,,,75.8,80.2,Overall,Overall,C2,T15,NH803,Crude,BOC01,OVR01,59,
2015-2016,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Coronary Heart Disease,Prevalence of coronary heart disease among US adults (20+); NHANES,Crude,Percent (%),3.9,3.9,,,3.0,5.0,Race,Non-Hispanic White,C1,T4,NH003,Crude,BOC04,RAC01,59,
1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Obesity,Prevalence of obesity among US adults (20+); NHANES,Crude,Percent (%),39.4,39.4,,,36.2,42.7,Race,Non-Hispanic Black,C2,T13,NH071,Crude,BOC04,RAC02,59,
2003-2004,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Smoking,Prevalence of poor smoking status among US adults (20+); NHANES,Crude,Percent (%),,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],,,Race,Non-Hispanic Asian,C2,T15,NH801,Crude,BOC04,RAC03,59,
